Epoch [237] | Time: 12.2957566s | Clustering Loss: 0.4657612 | ResNet Loss: 0.0020752
####################### 
Epoch [238] | Time: 12.3002300s | Clustering Loss: 0.4339555 | ResNet Loss: 0.0020664
####################### 
Epoch [239] | Time: 12.2824652s | Clustering Loss: 0.4453342 | ResNet Loss: 0.0020567
####################### 
Epoch [240] | Time: 12.2891853s | Clustering Loss: 0.3473409 | ResNet Loss: 0.0020491
####################### 
Epoch [241] | Time: 12.2818699s | Clustering Loss: 0.5218788 | ResNet Loss: 0.0020419
####################### 
Epoch [242] | Time: 12.2978346s | Clustering Loss: 0.3796346 | ResNet Loss: 0.0020325
####################### 
Epoch [243] | Time: 12.2848263s | Clustering Loss: 0.4260014 | ResNet Loss: 0.0020232
####################### 
Epoch [244] | Time: 12.2820079s | Clustering Loss: 0.4444696 | ResNet Loss: 0.0020151
####################### 
Epoch [245] | Time: 12.2614269s | Clustering Loss: 0.3305473 | ResNet Loss: 0.0020079
####################### 
Epoch [246] | Time: 12.2880359s | Clustering Loss: 0.4209465 | ResNet Loss: 0.0019996
####################### 
Epoch [247] | Time: 12.3007829s | Clustering Loss: 0.4454102 | ResNet Loss: 0.0019916
####################### 
Epoch [248] | Time: 12.3099899s | Clustering Loss: 0.4287750 | ResNet Loss: 0.0019843
####################### 
Epoch [249] | Time: 12.2674112s | Clustering Loss: 0.5434264 | ResNet Loss: 0.0019750
####################### 
Epoch [250] | Time: 12.2402551s | Clustering Loss: 0.3889411 | ResNet Loss: 0.0019674
####################### 
Epoch [251] | Time: 12.2832215s | Clustering Loss: 0.4156508 | ResNet Loss: 0.0019592
####################### 
